Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1249080,-,-,-,40.85,-73.86,0,22,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,AOD,Clearsky DHI,Cloud Type,Precipitable Water,Wind Speed,Surface Albedo,Relative Humidity,Ozone
2006,1,1,0,0,0.5,0.199,0,4,1.2000000000000002,1.8,0.11,96.59,0.34
2006,1,1,0,30,0.30000000000000004,0.199,0,4,1.2000000000000002,1.7000000000000002,0.11,98,0.34400000000000003
2006,1,1,1,0,0.1,0.211,0,4,1.1,1.7000000000000002,0.11,96.76,0.34800000000000003
2006,1,1,1,30,-0.1,0.211,0,4,1.1,1.7000000000000002,0.11,98.17,0.352
2006,1,1,2,0,-0.30000000000000004,0.198,0,4,1.1,1.6,0.11,96.42,0.356
2006,1,1,2,30,-0.4,0.198,0,4,1.1,1.5,0.11,97.13,0.358
2006,1,1,3,0,-0.6000000000000001,0.201,0,7,1.1,1.3,0.11,96.23,0.36
2006,1,1,3,30,-0.6000000000000001,0.201,0,4,1.2000000000000002,1.2000000000000002,0.11,96.23,0.36
2006,1,1,4,0,-0.6000000000000001,0.197,0,4,1.2000000000000002,1.1,0.11,95.3,0.359
2006,1,1,4,30,-0.5,0.197,0,8,1.2000000000000002,1,0.11,94.71000000000001,0.356
2006,1,1,5,0,-0.4,0.177,0,7,1.2000000000000002,1,0.11,94.62,0.353
2006,1,1,5,30,-0.5,0.177,0,4,1.1,0.9,0.11,95.31,0.34900000000000003
2006,1,1,6,0,-0.7000000000000001,0.158,0,4,1.1,0.9,0.11,95.93,0.34600000000000003
2006,1,1,6,30,-0.9,0.158,0,4,1.1,1,0.11,97.43,0.341
2006,1,1,7,0,-1.2000000000000002,0.147,0,4,1.1,1,0.11,97.7,0.337
2006,1,1,7,30,-1.2000000000000002,0.147,0,4,1.1,1,0.11,97.7,0.332
2006,1,1,8,0,-1.2000000000000002,0.138,0,1,1.1,1,0.11,97.71000000000001,0.327
2006,1,1,8,30,-1.2000000000000002,0.138,0,1,1,1,0.11,97.71000000000001,0.324
2006,1,1,9,0,-1.1,0.131,0,0,1,1,0.11,97.55,0.32
2006,1,1,9,30,-1.1,0.131,0,4,1,1,0.11,97.64,0.319
2006,1,1,10,0,-1.1,0.126,0,4,1,1,0.11,97.60000000000001,0.318
2006,1,1,10,30,-1.1,0.126,0,4,1,1,0.11,97.60000000000001,0.318
2006,1,1,11,0,-1.1,0.123,0,4,1,1,0.11,97.4,0.319
2006,1,1,11,30,-1,0.123,0,4,1,0.9,0.11,96.69,0.318
2006,1,1,12,0,-1,0.123,0,4,1,0.9,0.11,96.99000000000001,0.318
2006,1,1,12,30,-0.4,0.123,12,4,1,1,0.11,92.83,0.318
2006,1,1,13,0,0.2,0.122,36,4,1,1.1,0.11,93.23,0.318
2006,1,1,13,30,1,0.122,55,4,1,1.1,0.11,88.09,0.322
2006,1,1,14,0,1.8,0.11900000000000001,68,4,1,1.1,0.11,88.02,0.325
2006,1,1,14,30,2.4000000000000004,0.11900000000000001,78,4,1.1,1,0.11,84.43,0.327
2006,1,1,15,0,3.1,0.074,73,4,1.1,0.9,0.11,83.29,0.33
2006,1,1,15,30,3.6,0.074,77,4,1.1,0.8,0.11,80.41,0.329
2006,1,1,16,0,4.2,0.075,80,4,1.1,0.8,0.11,78.25,0.327
2006,1,1,16,30,4.5,0.075,81,4,1.1,0.8,0.11,76.63,0.324
2006,1,1,17,0,4.9,0.075,82,4,1.1,0.9,0.11,75.05,0.321
2006,1,1,17,30,5,0.075,81,4,1.1,0.9,0.11,74.53,0.316
2006,1,1,18,0,5.2,0.079,81,4,1.1,0.9,0.11,74.19,0.311
2006,1,1,18,30,5,0.079,78,4,1.1,0.9,0.11,75.23,0.307
2006,1,1,19,0,4.9,0.083,75,4,1.1,0.8,0.11,79.47,0.304
2006,1,1,19,30,4.4,0.083,69,4,1.1,0.7000000000000001,0.11,82.29,0.301
2006,1,1,20,0,4,0.079,60,4,1.1,0.7000000000000001,0.11,83.13,0.299
2006,1,1,20,30,3.2,0.079,49,4,1.1,0.8,0.11,88.03,0.297
2006,1,1,21,0,2.4000000000000004,0.082,33,4,1.1,0.9,0.11,83.27,0.294
2006,1,1,21,30,2.1,0.082,0,4,1,1,0.11,85.15,0.291
2006,1,1,22,0,1.8,0.084,0,4,1,1,0.11,86.59,0.289
2006,1,1,22,30,1.7000000000000002,0.084,0,4,1,1,0.11,87.21000000000001,0.28600000000000003
2006,1,1,23,0,1.6,0.082,0,4,1,1,0.11,88.07000000000001,0.28400000000000003
2006,1,1,23,30,1.5,0.082,0,4,1,1,0.11,88.7,0.28200000000000003
2006,1,2,0,0,1.5,0.081,0,4,1,1,0.12,88.98,0.281
2006,1,2,0,30,1.3,0.081,0,4,1.1,1,0.12,90.26,0.281
2006,1,2,1,0,1.2000000000000002,0.078,0,4,1.1,1,0.12,90.58,0.281
2006,1,2,1,30,0.9,0.078,0,4,1.1,1,0.12,92.56,0.281
2006,1,2,2,0,0.6000000000000001,0.078,0,4,1.1,1,0.12,94.15,0.28200000000000003
2006,1,2,2,30,0.30000000000000004,0.078,0,4,1.2000000000000002,1,0.12,96.3,0.281
2006,1,2,3,0,0,0.08,0,4,1.2000000000000002,1,0.12,98.09,0.281
2006,1,2,3,30,-0.1,0.08,0,4,1.3,1.1,0.12,98.8,0.279
2006,1,2,4,0,-0.1,0.082,0,4,1.3,1.1,0.12,98.93,0.278
2006,1,2,4,30,0,0.082,0,4,1.4000000000000001,1.1,0.12,98.22,0.277
2006,1,2,5,0,0,0.083,0,4,1.4000000000000001,1.1,0.12,98.56,0.276
2006,1,2,5,30,0,0.083,0,0,1.5,1.1,0.12,98.56,0.275
2006,1,2,6,0,0.1,0.082,0,0,1.5,1.1,0.12,97.77,0.274
2006,1,2,6,30,0.1,0.082,0,1,1.6,1.1,0.12,97.77,0.272
2006,1,2,7,0,0,0.082,0,0,1.6,1.1,0.12,97.81,0.271
2006,1,2,7,30,0,0.082,0,1,1.6,1,0.12,97.81,0.27
2006,1,2,8,0,-0.1,0.088,0,4,1.6,1,0.12,97.56,0.268
2006,1,2,8,30,0,0.088,0,4,1.6,1,0.12,96.85000000000001,0.268
2006,1,2,9,0,0,0.094,0,4,1.6,0.9,0.12,96.11,0.268
2006,1,2,9,30,0.1,0.094,0,4,1.6,0.9,0.12,95.42,0.268
2006,1,2,10,0,0.2,0.08700000000000001,0,4,1.6,0.9,0.12,93.72,0.268
